date,startup_name,industry,city,investment_type,amount_usd,period
2015-03-20,Harness Handitouch,,,Private Equity,,Pre-COVID
2015-03-20,Lets Corp,,,Seed,3000000.0,Pre-COVID
2015-03-20,Mahindra First Choice,,,Private Equity,15000000.0,Pre-COVID
2015-03-20,CollateBox,,,Seed,180000.0,Pre-COVID
2015-03-21,Round One,,,Seed,,Pre-COVID
2015-03-23,RazorPay,,,Seed,120000.0,Pre-COVID
2015-03-23,Mosambee,,,Private Equity,,Pre-COVID
2015-03-24,Furlenco,,,Private Equity,6000000.0,Pre-COVID
2015-03-24,Cubito,,,Seed,160000.0,Pre-COVID
2015-03-25,OYO Rooms,,,Private Equity,25000000.0,Pre-COVID
2015-03-25,Fxkart.com,,,Seed,2000000.0,Pre-COVID
2015-03-25,Rozgar Mela,,,Seed,,Pre-COVID
2015-03-25,Teabox,,,Private Equity,6000000.0,Pre-COVID
2015-03-25,Artoo,,,Private Equity,500000.0,Pre-COVID
2015-03-26,Roposo.com,,,Private Equity,5000000.0,Pre-COVID
2015-03-26,Teewe,,,Seed,1750000.0,Pre-COVID
2015-03-26,ePoise,,,Seed,,Pre-COVID
2015-03-27,Urjas,,,Seed,100000.0,Pre-COVID
2015-03-27,Chargein,,,Seed,100000.0,Pre-COVID
2015-03-28,Yogurt Labs,,,Seed,115000.0,Pre-COVID
2015-03-28,LimeRoad.com,,,Private Equity,30000000.0,Pre-COVID
2015-03-28,Team Indus,,,Private Equity,1500000.0,Pre-COVID
2015-03-30,Arohan Financial Services,,,Private Equity,10000000.0,Pre-COVID
2015-03-30,BillDesk,,,Private Equity,75000000.0,Pre-COVID
2015-03-31,Triphobo,,,Private Equity,3000000.0,Pre-COVID
2015-03-31,Aryaka,,,Private Equity,16000000.0,Pre-COVID
2015-03-31,Appsdaily,,,Private Equity,16000000.0,Pre-COVID
2015-04-03,Swiggy,FoodTech,Bengaluru,Private Equity,2000000.0,Pre-COVID
2015-04-04,Bluegape,Media,Gurugram,Seed,200000.0,Pre-COVID
